Country,2020,2019,2018,2017,2016,2015,2014,2013
Poland,83.18,80.44,77.54,75.99,73.3,68.0,66.6,62.85
Portugal,78.26,75.35,74.66,73.79,70.42,68.63,64.59,62.1
Qatar,99.65,99.65,99.65,97.39,95.12,92.88,91.49,85.3
Romania,78.46,73.66,70.68,63.75,59.5,55.76,54.08,49.76
Saudi Arabia,97.86,95.72,93.31,94.18,74.88,69.62,64.71,60.5
Serbia,78.37,77.42,73.36,70.33,67.06,65.32,62.08,53.45
Singapore,92.0,88.95,88.17,84.45,84.45,83.2,82.1,80.9
Slovenia,86.6,83.11,79.75,78.89,75.5,73.1,71.59,72.68
South Africa,70.0,68.2,62.4,56.17,54.0,51.92,49.0,46.5
South Korea,96.51,96.16,96.02,95.07,92.84,89.9,87.56,84.77
Spain,93.21,90.72,86.11,84.6,80.56,78.69,76.19,71.64
Sri Lanka,35.0,29.0,26.0,21.3,15.1,12.1,10.5,8.13
Sweden,94.54,94.49,89.25,93.01,89.65,90.61,92.52,94.78
Switzerland,94.2,93.15,91.8,89.69,89.13,87.48,87.4,86.34
Thailand,77.84,66.65,56.82,52.89,47.5,39.32,34.89,28.94
Trinidad And Tobago,79.86,76.65,73.56,70.6,67.8,65.1,62.4,59.9
Tunisia,71.9,66.7,64.19,55.5,49.6,46.5,46.16,43.8
Ukraine,75.04,70.12,62.55,58.89,53.0,48.88,46.24,40.95
United Arab Emirates,100.0,99.15,98.45,94.82,90.6,90.5,90.4,88.0
United Kingdom,94.82,92.52,90.69,90.42,94.78,92.0,91.61,89.84
United States,90.9,89.43,88.5,87.27,85.54,74.55,73.0,71.4
Uruguay,86.1,83.35,80.73,70.32,66.4,64.57,61.46,57.69
Vietnam,70.3,68.66,69.85,58.14,53.0,45.0,41.0,38.5
Russia,84.99,82.64,80.86,76.01,73.09,70.1,70.52,67.97
Slovakia,89.92,82.85,80.45,81.63,80.48,77.63,79.98,77.88
Turkey,77.67,73.98,71.04,64.68,58.35,53.74,51.04,46.25
